naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
Door Shackle - a portable door lock for asset protection!,Devin Deason,US,Hardware,9,15000,297,0,The door shackle is a portable no screws required door lock to use on almost any door when you leave the room especially hotel doors
Friday Afternoon Tea is expanding!,Friday Elliott,US,Spaces,522,30000,33550,1,We are expanding from a purely online retailer to a brick and mortar tea shop and everyone-friendly community space!
Solar Wi-Fi Mosquito Flea Tick and Insect Misting System,Murray Smith,US,Gadgets,4,91000,986,0,SolaMist is a solar-powered mosquito and insect misting system.  Your app controls non-toxic spray schedule for entire backyard.
Hicat.livera - Start making your first machine vision robot,Team Hicat,US,Hardware,625,5000,56051,1,"Livera aims to bring low cost machine vision features to let more people DIY their own robot, spoting and collecting more fun in life"
FINAL HOURS!! Mr. Greenheart's Treehouse - Family TV Show,Jefe Greenheart,US,Family,387,25000,32916,1,"A kid's TV show pilot that inspires families to go on adventures together. Amplifying values of nature, play, wellness, & creativity."
Ah-Sitake HA! - Animal Ninjas Card Battling Game... of DOOM!,NVS Gameplays,CA,Tabletop Games,12,5,239,1,"The ninja battlin', card spinnin', flingin' flangin' action game of well, battling ninjas, spinning cards, and flanging flingings."
Sure Grip Shaving Razor: A New Way to Shave,Sure Grip Shaving Razor LLC,US,Product Design,7,25000,301,0,"An innovative shaving razor that makes your shave personal, easy, and enjoyable."
Baafoot Merino Wool Barefoot Insoles,Brandon Oouah,US,Footwear,774,5000,31350,1,"If you love to wear shoes without socks but hate stinky, uncomfortable feet, Baafoot is your natural, high performance solution."
Skate or Die Museographie,SansTitreAsso,FR,Mixed Media,28,500,604,1,"SansTitre c'est l'asso des tudiants des beaux arts de Tourcoing, et pour 2016 nous montons une exposition sur Paris !"
Armoured Science Kung-Fu Cats - The adventure begins,Tom Caffrey,AU,Comic Books,42,500,683,1,The story follows the lives of five cats from different homes and completely different personalities who are chosen to save Earth..
Ghost Court,Bully Pulpit Games,US,Live Games,487,12000,19891,1,A ridiculous party game about ghosts and the people who sue them!
Vroom - Open Source Mobile VR Platform,Wonder League Corp.,US,Hardware,39,10000,8705,0,The worlds first smartphone VR controller is here! Unity SDK lets anyone build apps easily! And the hardware is open source too!
