naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek 
"Steven Universe, FanDrawings in style",PencilTree,IT,Illustration,1,1500,1,0,Fan of Steven Universe? Fan of drawings? Want to help an indipendent artist? So come in and help us to found our dream!
Tneils Hidden Pocket Shirt,Taylor Neilson,US,Apparel,8,7700,625,0,"The Fashionable Travelers Shirt that has a Secret. Get out there, and keep what needs to be safe hidden."
Underwear That Mold To Your Body with Thermojoin Technology,Zachary Morris,CA,Technology,143,2000,10316,1,The Synergy Series is an innovative minimalist underwear line that incorporates Thermojoin technology and an Advanced  Fit System.
Wiri's Original Pepper Sauce,Wiri's Original Pepper Sauce,CA,Restaurants,3,20000,67,0,"Born from a mouth watering traditional recipe consisting of the finest Guyanese Wiri-Wiri peppers, Wiri's is a true culinary delight."
Tim the 2D platformer,Timmage.co,SE,Video Games,0,2000,0,0,We are a group of students currently working on our first game.
Public Annex's First Term,Public Annex,US,Art,87,6000,6677,1,"Help Public Annex fund our first term of programming, making art and urban farming accessible to people with disabilities!"
Fantasy of the Flesh,Graye Pumetih,US,Television,0,5000,0,0,The disappearance of Kurt Sova remains unsolved.  We present four theories.
DONTIE - The soon to be easiest way of tying shoe laces (Canceled),DonTie,NO,Product Design,8,125000,1997,0,"I would like you to join me in designing this, and get the finished product at the end. You will decide the color, shape, material."
Wake Up Call @ IRT Theater,Veronica Cooper,US,Plays,104,4500,5221,1,Wake Up Call is a comedic play about a group of hotel employees working on Christmas Eve.
Becoming a Belly Dancer: From Student to Stage - The Book,Sara Shrapnell,US,Academic,54,1000,2809,1,"The stagecraft handbook that answers 1001 questions, provides theories & strategies for taking your belly dance to the next level."
How I made thousands using my smartphone!,Phillip Lofton,US,Nonfiction,0,10000,0,0,A guide based on years of trading mistakes and losses that you dont have to make. I've earn extra income as much as $1000 per month!
Terrific TV for A Tiny Town,Keith Hayes,GB,Television,1,20000,15,0,CHALK TV is starting an information micro TV enterprise on the web to serve a small town of 18000 and its district of 125000
Hillary Game!,Dean Albenze,US,Mobile Games,1,55000,1,0,Test your email-destroying reflexes with the new Hillary Game! Fight your way to the email server at the end of each level!
"The Alaskan-Made, Paracord, Reminder To Live Sanctified!",Matthew,US,Apparel,20,1000,1024,1,"Artistic, rugged, and Alaskan made, these bracelets remind you to Accomplish Goals, Pursue Dreams, Live Sanctified."
Chronicles: Crimson Blade,Daniel Clatworthy,NO,Fiction,2,9000,1200,0,Chronicles: Crimson Blade is the story I've written thanks to the support of my friends and I hope to get it self-published as a novel.
"X200 Power-Hub | Clean, Green Portable Energy System","Innogen Energy, Inc.",US,Technology,34,87000,8408,0,"The X200 Power-Hub gives you the freedom to charge mobile devices, electronics, and even small appliances - anywhere, anytime."
\\,David A. Holcombe,US,Horror,20,3734,715,0,"We want to film a sizzle reel for our feature horror/thriller film, \\"
The Legend of Harambe - Plush Gorilla,Ebrahim Elbagory,US,Textiles,7,12000,323,0,"In honor of Harambe the Gorilla who was a 17-year-old silverback gorilla who was shot and killed on the 28th of May, 2016. R.I.P."
FINAL HOURS! Lairytales: A wickedly wonderful way to learn,"Ali Lanning, AppyLab",GB,Children's Books,107,10000,6516,0,Discover the power of naughty words! Help children explore language with the mischievous Lairies. Launch party invite for all backers!
TIMBERLINE LODGE: a coloring book,Bonny Wagoner,US,Illustration,6,250,250,1,"It all began with an innocent question from my grandson, \\"
World's smallest 360 video camera for Android phones!,"eCapture Technologies, Inc.",US,Technology,236,25000,53957,1,LyfieEye allows users to record and share Spherical 360 content using their Android smartphones.
Krampus: Naughty or Nice Lapel Pins,George Gaspar,US,Accessories,52,400,946,1,"This winter, Krampus is coming to your home!  Will it be the Naughty Krampus or the Nice Krampus? You decide."
Transcultural Art Project in Germany & Cambodia,"Jil, Anna, Monja",DE,Art,22,850,1000,1,What makes kids happy? Supporting this project helps children living in a german childrens home and a cambodian orphanage.
Wizards and Unicorns,Jens Reher,DE,Tabletop Games,46,10000,2148,0,A fast paced card game about a great magical tournament in a fantasy world. Do everything to put your shows on Stage and get fans!
Spicy Bleach Boys,Hunter Jones,US,Comedy,0,5000,0,0,"Spicy Bleach Boys is a group of 3 friends who enjoy making funny skits, animated skits, and cooking shows. Comedy is our main goal."
Corpse Corp. #2: A high concept slasher comic,Ken Johnson,US,Comic Books,40,1000,1157,1,"Corpse Corp. is a high concept, self aware slasher paying homage to films like Scream, Cabin in the woods, and classic 80's slashers."
REPAINTED,Jessica,US,People,0,1000,0,0,Artist looking to photograph + document the lives of African American women as affected by the beauty industry is in need of a camera.
Good Curling Playing Cards,OMGCURLING,US,Playing Cards,236,2000,7244,1,"52 curling-themed, regulation poker-sized playing cards, with an air-cushion finish and tuck box, printed by the USPC."
Aspiring Young Artists Project,Ricky Strickler and Vessna Scheff,US,Music,42,7500,7501,1,"We give Philadelphia High School students the chance to write and record original music, build confidence, and chase their dreams."
Wing Commander Orchestral Recording Project; Volume 2,George Oldziey,US,Music,283,35000,27777,0,"Following the huge success of volume 1, George Oldziey is launching a new campaign to record more WC music with a large orchestra!"
CowLite Utility Software (FREE),ImJustACowLol,NL,Software,4,500,85,0,Free easy-to-use open-source utility software. New programs coming on a regular basis for FREE. No strings attached.
Indie Birdie Website Project: For All Rising Indie Artists,The Indie Birdie,US,Music,2,80,25,0,A website where rising indie artists/record labels can submit their songs to gain exposure
Luxury Watches Giacomo Cortes from Switzerland,Markus Weiler,CH,Product Design,21,10000,1491,0,"Watches with an elegant and timeless design. SWISS MADE Movement and Sapphire Crystal, Luxury and quality for an affordable price!"
MARLOW,Francine Labrecque,CA,Fiction,0,20000,0,0,Une jeune femme trouve l'amour dans un institut psychiatrique o les docteurs sont plus drangs que leurs patients.
El 45 & Extras,Aaron Molloy,US,Indie Rock,1,2500,1,0,"Greetings, I'm looking to press a 45 rpm vinyl of some of my original work and I need your help! I've included a bunch of goods too!"
Lesbian life in iran,ZS,GB,Documentary,2,40000,15,0,Help us create a documentary about the life of a lesbian in Iran
Mr. Parkinson Book,Nina Monica Scalabrin,IT,Nonfiction,1,40000,5,0,A book dedicated to all the people who suffering from neurodegenerative diseases. It is not just a sad story but rather a hymn to life!
JUUK Premium Aluminum Apple Watch Bands,Eugene Ho,HK,Hardware,217,78000,140830,1,We're creating some of the best metal Apple Watch bands with unique designs and precision Swiss quality manufacturing
Classic & Simplicity | Men's watches by BLUESOM,BLUESOM,NL,Accessories,1,3500,1,0,This is a project from a 21 years old student - I will introduce you to BLUESOM. Special created for the modern men.
hogs shorts | 7\\,Christopher Prial,US,Fashion,7,4000,354,0,Elastic waistband.  Belt loops.  7\\
The Entrepreneurs Journal,Bosco Gomez,US,Design,22,1500,196,0,"The Entrepreneurs Journal is a tool that makes you plan, schedule, draw, improve, take notes, imagine, motivate, and even learn."
Presidential Election: The Board Game,All Over the Board Games,US,Tabletop Games,178,2016,8748,1,"Scandals... payoffs... coverups if you love politics, you'll hate this game."
The XL Orb,Progressive Products,US,Product Design,131,10000,11855,1,The newest addition to the Orb family. A unique precision machined aluminum spherical container. A supersized sphere!
World Peace Reef,Bret Cook,US,Sculpture,9,150000,2304,0,"Monumental underwater 3D Peace sign sculpture, artificial reef, sculpted people representing the worlds population. Dive Virgin Islands"
"He Said, She Said: The Trump & Clinton Dialogue",Pablo Garcia,US,Print,32,7500,1163,0,"Clinton. Trump. What He says about Her. What She says about Him, edited and archived into one continuous dialogue."
Project Sting Ring,Oliver nicoll,GB,Small Batch,4,3000,48,0,"The worlds hottest bar snacks in 3 intense core chili flavors, Reaper, Ghost and Habanero. !!! How hot dare you go !!!"
Greenhouse heating system,Dzianis Maratchkin,FR,Farms,1,11000,23,0,We've built the first greenhouse and are going to build two more.But without the heating system we can't work all year long
CARBON LEATHER | Ultra Slim Wallet Designed For Minimalists,Eike,DE,Product Design,50,500,1944,1,"Designed for minimalists - Ultra slim, thin, small and lightweight with no drawbacks! Carry all essential including cash and coins!"
Battle Born Brigade Scarves,Battle Born Brigade,US,Accessories,36,700,1200,1,It's finally time for us to have our own scarves! We hope everyone loves these as much as we do.
Help Palisades Drive Record Their Debut EP,Jesse Young,US,Pop,62,2500,2810,1,Palisades Drive is an 80's influenced Synth Pop band from Miami.
"Burlesque cities: London, Paris, New York - Original Art",sara horwath,DE,Public Art,5,2000,197,0,Burlesque cities is one of the projects of \\
-----relaunch to follow----- (Canceled),Marcello & Bruce,NL,Art,25,20000,4282,0,.
Belly Full: Caribbean Food in the UK,Tezeta Press,GB,Art Books,227,6500,9155,1,A new series of books exploring African and Caribbean food culture across the world.
Ogre Sauce - All-Purpose Craft BBQ Sauce,Chris Lawson,US,Small Batch,1278,6000,30142,1,Free Ogre Sauce T-shirts for Everyone!? Stretch Goal #2
The Amazing Black Tie Counter Top Dog Grooming Station,"Applaud Global Services, Inc",US,Product Design,40,36500,1939,0,"The Worlds First and ONLY Self Enclosed, Portable, Convertible and Collapsible Dog Washer and Grooming Station!!"
Pyduino - Arduino the python way,Nitin,US,Hardware,106,4500,6899,1,Pyduino  is a small Arduino like board which run MicroPython. You can use Arduino shields to create projects and program them in Python
Live On Purpose Project Journal,Megan Cuzzolino,US,Art,67,3000,3114,1,I've collaborated with Paper Raven Co to make this beautiful journal in hopes of inspiring more people to write their stories.
TOP SECRET! Steak & Cake Records Needs a New Laptop for 2017,Jaz Eff,US,Music,4,500,500,1,Help Brandon of Steak & Cake Records keep recording and filming in Buffalo like never before by dropping a few bucks toward this fund.
Halal Advisor (Restaurant Finder App),Aladdin Moukhallalati,AU,Apps,9,3000,598,0,Australia's first Halal Restaurant Finder App that lists over 2500 Halal restaurants near you based on your location.
Start my own art business,James,GB,Art,2,4500,47,0,Trying to raise money to fund my art business. I would like to start a website and in the future open a store in London.
Still Waters: A documentary,Peter Gordon,GB,Documentary,135,28500,28760,1,"A small room in Brooklyn, a film with a big story. An inspirational teacher and young Hispanic lives transformed."
Commit News,Claudia Irving,US,Web,68,50000,12878,0,Where YOU decide what's newsworthy
A Saucy Sampler: Lewd Linen designs for adult coloring pros!,Lewd Linens,US,Illustration,28,1500,1700,1,The Saucy Sampler is the modern artists answer to the traditional samplers of yesteryear. Family heirlooms for the koolest \\
MilchMaus,Lukasz,DE,Young Adult,34,20000,1344,0,Childrens books individually customized by language for all kinds of multilingual families. Choose up to four languages per book!
Balanz - no more splatter in your kitchen,Sander den Hoedt,NL,Product Design,84,6500,2010,0,The Balanz is the serving spoon that stays in the pan; that means no more splatter from the spoon falling out.
Shoreham Fort Souvenir Guide Fundraiser,Andrew Vincent,GB,Nonfiction,57,3000,3029,1,"A high-quality printed and bound souvenir guide book about Shoreham Fort aimed at all ages, covering it's past, present and future."
The Seven Stones: Isles of Ithir,Melodie Berg,CA,Fiction,5,6000,175,0,The Seven Stones is a series of books following the fantastical adventures of the unexpected heroes in each land.
SJ Custom Art-Custom Phone Case Shop,Sandeep Joshi,CA,Art,0,5000,0,0,SJ Custom Art-Custom Phone Case Shop! I will create a very unique custom phone case just for you or anyone who is special in your life!
Legends of the Brawl -- Hilarious 4 player co-op mayhem (Canceled),Dark Tonic,US,Video Games,126,65000,5097,0,Over the top 4 player co-op brawling action starring the greatest legends of history!
Active Voice The Comic Collection,P. Kristen Enos,US,Graphic Novels,22,3000,1651,0,"Real life adventures of an Asian-American, Lesbian, Feminist Activist and her Friends! (in comic form!)"
Short psychological thriller seeks funding,Jonathon Pastore,US,Drama,0,15000,0,0,A married couple and their interactions but the wife has a secret
Mainline Music Concert Series at the Starline Social Club,Majel Connery,US,Classical Music,51,5000,11210,1,"A creative haven for uncommon artists and adventurous audiences, fueled by a crazy sense of possibility."
Minimalist leather bags that don't break the bank.,Issara Leather Goods,GB,Accessories,162,15000,22356,1,"Minimalist, luxury quality leather bags that are fairly priced and ethically made. Embedded with smart tracking technology."
Highr Minds Apparel/Merchandise,Regal,US,Hip-Hop,0,1500,0,0,Creating apparel and merchandise for my music brand. I have a few products and looking to design more.
Requiem for a Grieving Hero Vol.1 Dark Fantasy Graphic Novel,Leviathan Studio (Philip Miller),US,Graphic Novels,23,2500,605,0,Ashe has always lived in the slums but that all changes when a mysterious girl shows him a dark future. How will he manage to stop it?
"'Plantsify' app - Grow your plants, benefit your community",Zaly A.,GB,Apps,4,15000,135,0,"The app offers efficient, personalised experience for plant growers to link up directly with buyers looking for fresh produce."
Random Direction Dice,Eric Bernard,US,Games,13,600,155,0,"These Dice will be a welcome addition to any gamer's arsenal! They can be used as drunken dice, Random AI dice, or many other things!"
Custom Robot Buddies - Copilots for Your Everyday Adventures,Justin Hamm,US,Art,8,300,406,1,"Custom Robot Buddies - the perfect Copilots for your everyday adventures! They can hang out in your car, on your desk, or anywhere!"
Lenny's Island,Daniel Mulligan,GB,Video Games,1,60000,1,0,"A unique 3rd person, 3D, open world puzzle adventure game, filled full of wondrous surprises and mysteries."
The Key Koat,David Spier,US,Product Design,45,500,1121,1,A soft oiled genuine leather coat that keeps up to 5 of your favorite keys snug and organized on your keyring.
Ailton,Bad Touch Studios,US,Video Games,6,2500,37,0,Explore an overgrown world and learn the mystery on why this once thriving town's inhabitants have vanished.
Whispers In Necropolis #2,LTorres,US,Anthologies,40,1700,1740,1,"The second installment of the horror anthology by Codex Entertainment,llc"
Free skating program to the sound of bagpipes,Vladimir Vassilev,NO,Performances,14,15000,15450,1,Composition of figure skating free program to the sound of bagpipes to be performed at international figure skating competitions.
Arthurs Artworks,Chase Arthur,US,Woodworking,1,5000,1,0,Creating a piece of natural art for every home!
Vinahello.com - Worldwide Vietnamese Yellow Pages,Medcore.org,AU,Web,0,10,0,0,Vinahello.com is Yellow Pages - a collection of businesses and entities in Vietnamese communities worldwide.
Race Region - Bringing Motorsports Together,Lauren,US,Design,4,20000,261,0,We want to bring motorsports all over the country into one easily accessible place for both driver and spectator.
UndercoverThe ChoirAltar Boys441Crumbcher Live DVD 2005,Take 2 Productions,US,Rock,207,45000,17074,0,"The Broken Records Reunion Concert DVD, featuring Altar Boys, The Choir,  Crumbacher, Undercover and 411."
WA NT4 REBREATHER,Nick Toussaint,US,Product Design,2,250000,7601,0,GET THE NEW WA NT4 REBREATHER FIRST BATCH AT A KILLER DEAL !
The Weeklings: Animated Series,Flydra Creative,US,Animation,122,20000,22349,1,The Weeklings is an Animated Comedy Series Starring the Days of the Week!
Knights of Camelot - a fun card game of bluff & laughter,Mind Games,GB,Tabletop Games,152,2500,2900,1,"A quick, easy to learn card game of bluff, misdirection and laughter.  Delivered in time to play with friends & family over Christmas."
Dundee: A Hip-Hopera,Gabe Caruso,US,Musical,57,5000,5410,1,"A dramatic hip-hopera, inspired from monologues written by the performers."
"CtPaint, the simple paint software missing from the internet",Chad 'Chadtech' Stearns,US,Art,29,69680,1621,0,"CtPaint is web-connected image editing software. Its perfect for pixel art. It can open, edit, and save any image on the web."
Network motion sensor - smartphone control,kwan,HK,DIY Electronics,145,3700,18576,1,The motion sensor build-in Wi-Fi hardware. User can create their own motion detected application.
Judy Savoy's First Book - Theres a Life in Here Somewhere,Judy Savoy,CA,Publishing,124,5000,6415,1,Faith journey book from a life that found its center in forgiveness. With humor and wonder it turns painful places into healing moments
Wolfram Pen & Pencil Writing Instruments with Bolt Action,Beck,US,Product Design,85,5000,8900,1,Writing Pens & Mechanical Pencils made from Wolfram (Tungsten). A Rare Metal Atomic #74.Unlike anything you have seen before.
Creekside Creep Invasion,Ouch Giver Games,US,Video Games,18,10000,175,0,"Creekside Creep Invasion is a Halloween themed, action Rogue-Lite. It is developed by husband and wife team, OuchGiver Games."
"LOOT. : A Magic Item Deck (5th edition, RPG)",Trilith Studio,BE,Tabletop Games,91,9500,2805,0,New Loot for your 5th Edition campaign! A deck of new magical Armors and Weapons.
Silver or Gold shell pendant: a copy of one real shell,Andrea Pettorali,IT,Product Design,2,10000,115,0,A pendant created from the mold of a real Italian shell. An original pendant in silver or gold
Dreamcatchers - giving your story a voice,Sulette and Celeste Irizarry,US,Publishing,1,1000,100,0,Autism and being partially blind in 1 eye has not stopped this young writer. Finding a publisher has. Goal is to become self publisher.
PokLogs - Record Keeping for GO Players,Saamahn Mahjouri,US,Apps,2,500000,2,0,"With PokLogs, users can share photos of discovered Pokmon while navigating to and from the GO app using our built-in feature."
EagleCloud - Free & Secure Alternative To Dropbox Or G-Drive,The EagleCloud Team,US,Technology,7,100000,280,0,"Securely sync, store, and share all your files and photos with EagleCloud."
Past to the Future,Oleg Baksheev,US,Classical Music,1,90000,20,0,Creating an album of classic music in modern arrangement.
Minola Review Print Anthology,Robin Richardson,CA,Literary Journals,153,5000,5481,1,"Minola Review brings the conversation between women to front and center, creating a safe and nurturing space for quality work."
Key to the City: London,Game Salute and R&D Games,US,Tabletop Games,540,100,35554,1,"The latest from R&D Games takes Keyflower and weaves its compelling gameplay into the history of London, the greatest city on earth!"
Orion's Peace Camp & Learning Center: a Global Movement,Sue and Roger,US,Civic Design,64,5000000,10270,0,Teaching skills of peace and promoting the development of Peace Camps and programs worldwide to create a world that works for everyone.
"SIMpro - SIMplify the way you connect: Anytime, Anywhere!",SIMpro,CA,Technology,792,35000,85186,1,"One device to control multiple SIM cards, phones and data connection. With SIMpro you never need to switch SIM cards or phones again."
"e-Learning musicAcademia: Piano Scores, Lessons & More",StefanAmast,IT,World Music,15,2800,460,0,An e-Learning academy where everyone will be able to learn and download quality modern music scores.I will compose and arrange by ear.
The BallBuster - A Ball Full of Laughs!,Ralph Manginello - entrepreneur,US,Games,8,10000,500,0,Ever at a loss for words to your obnoxious golf buddy?  Use The BallBuster! 8 hilarious sayings to bust your buddy's balls!
The Ex-mas Story,Dudley Fontaine,US,Film & Video,8,3000,1250,0,Santa and the Toothfairy used to date. They bump into one another at a house while both on the job. A little friction ensues. Rom/Com
"Clothing Production Factory: Detroit,MI",Anjeil Shreve,US,Ready-to-wear,1,10000,1,0,The fashion industry in Detroit is lacking. We have talent & creativity here but the resources are needed. Let's make it happen.
Subliminal Geometry,Juan Carlos Urea Costa,ES,Design,2,500,40,0,Generative paintings between the organic and the geometric
LOCKem: Shoe Lacing System,Tu Do,US,Product Design,24,10000,611,0,Why tie your shoes when you can LOCKem?
Alice and the Graceful White Rabbit,John Langdon,US,Fiction,133,25000,13110,0,"Filled with puns, wordplay, and hidden Rock and Roll references for you to discover in a contemporary retelling of the Carroll classic."
Spartacus Gladiator,Serge MEIER,FR,Tabletop Games,12,15000,188,0,Fighting game for 2 players. Jeu de combat pour 2 joueurs.
Gourmet Mac & Cheese delivered to your door step!,True Concepts,US,Restaurants,7,9500,141,0,I wish to share my love of the comfort food Mac & Cheese with as many people as I can by delivering gourmet styles to their front door!
Six By Seven LIVE Nottingham,CHRIS OLLEY,GB,Music,140,2000,5000,1,A campaign to get six by seven to play the whole of The Closer You Get + ten other songs in their hometown on Saturday 4th March 2017
Crash Limited Edition Screen Print Poster,Robert Kester,GB,Graphic Design,29,1000,1241,1,From screen to screen. 50 limited edition screen prints inspired by patterns formed from digital crashes.
Helpful Humans USA Fundraiser (Canceled),Nathan Berger,US,Web,9,50000,1020,0,"We're building a community that easily allows students and retirees to connect, trading rooms in return for companionship and chores."
Hood,Luke,AU,Video Games,17,5000,250,0,"Experience true terror as you evade the wolf, with only your cloak and basket to help you."
MORALITY,Morality Games,US,Playing Cards,18,10000,1430,0,MORALITY is a poker card game ripoff based on American social demographics instead of the usual suits. Get ready to be triggered.
The Gallery Dance Collective Needs a Home,Courtney Holland,US,Spaces,2,2500,11,0,We're at the home stretch and need your help! We're trying to find a place to call home so we can train the next generation of dancers.
Cuddle Bunk - Foldaway Bedside Pet Bed,Zink Enterprises,US,Product Design,9,5000,287,0,"The Cuddle Bunk pet bed allows your pet to sleep right next to you in their own bed. No more hogging the bed, no more stinky sheets."
"Viridis Living System - 55 Acres Feeds 55,000 People",Gary W. Baer,US,Farms,5,22000000,322,0,"Purifying polluted water, generating green energy and growing pristine food sustainably and economically anywhere on the planet."
Adore//Repel - Full length debut album,Adore//Repel,GB,Music,56,1500,1658,1,Our first full length album is almost complete. We are proud and excited to get it out there amongst all you humans A//R
World Control - boardgame perfection,Ivo Avocadovic,AT,Tabletop Games,153,23666,23667,1,"Imagine Monopoly, Risk & Catan having a threesome inside a box, that is making Jumanji look like boring Pokemon! Voila: WorldControl"
Other Worlds - 2017 Calendar,Nicole Aline Legault,CA,Illustration,103,5500,6458,1,A calendar of dreamy watercolours to bring into your world by Nicole Aline Legault
"Rachel Lark's New Show & Concert Film, \\",Rachel Lark,US,Indie Rock,257,21693,23321,1,"Support me as I create a new show, concert film, and tour!"
Together In This: The Documentary,Together In This,US,Documentary,251,141693,117778,0,"A film about belief, sexuality, LGBTQ inclusivity, and the future of the church."
Grenville Society Pineapple Wine Corkscrew,Vija Kuras,US,Product Design,114,3000,8000,1,"A corkscrew that is to be taken out of the kitchen drawer and displayed in your home, symbolizing hospitality, warmth and friendship."
Wu Headphones - Studio Sound. Distinct Styles. Handcrafted!,Jiae,US,Sound,15,2000,2521,1,Wu Headphones - Each handcrafted to studio quality sound and distinct style. Delightful for You. Turn Heads!
Cotton Ti-P the Titanium Cotton Swab,Banksy Buds,GB,Product Design,25,666,402,0,Cotton Ti-P the Titanium Cotton Swab - The Gift you give the Man or Women that has everything!
The Writer in the Cabin is a short Horror film.,Kip Jon Eavenson,US,Horror,3,10000,230,0,I want to create a short Horror film that I have written. 3-4 actors needed and will be paid. A trailer will be filmed first.
I'm So Good I'm Embarrassed,Jake Kauffman,US,Documentary,115,10000,10861,1,"A film chronicling the last year in my grandfather Robert Kauffman's life, which challenges us to consider what matters most in life."
The Fantasy Fiends Podcast,Greg Renaud a.k.a Lincoln Renshaw,CA,Fantasy,1,2200,100,0,"A fantasy football podcast available every weekday; loaded with news, tips and tricks to guide you to fantasy football greatness."
VACATIONHOUSE-Cool Slouch Beanies Hats & Leather Accessories (Canceled),Jeannie,US,Accessories,0,4000,0,0,Men & Women's Slouchy Beanie Hats Leather Hair Jewelry Leather Fashion Accessories Quality Natural Fibers Handmade in USA
AI War II - Will Be Re-Launched! (Canceled),Chris Park/Arcen Games,US,Video Games,2434,299400,93168,0,"The award-winning, genre breaking, asymmetric strategy cult classic will return!  Catch the most sentient AI in gaming on re-launch."
Victoria Jr. and the Under Wunderland,Manny Trembley,US,Comics,552,3500,15412,1,"Victoria ventures into the underworld to ask the Lady of Bones for one more day with her deceased goldfish, Mr. Love."
Monty's Deli - A real Jewish deli,Monty's Deli,GB,Restaurants,789,50000,52086,1,"An authentic Jewish delicatessen open seven days a week, where traditional recipes are made expertly in house with great love and care."
Actually Pressing Records a NEW pressing plant!,Travis Whitlock,US,Music,14,47000,761,0,"We are starting a new record pressing plant in the greater Seattle area, yes, manufacturing 12\\"
A Professional Music Laboratory,Greg Fears Jr.,US,Music,1,200000,3,0,"*New brand* music producer who plays drums, piano, organ, guitar/bass, composes/arrange, programs, engineer and make beats. Expands lab"
Godforsaken Scavengers: Survival Card Game,Drawblack,US,Tabletop Games,1184,7500,28956,1,"Unforgiving dungeon crawler inspired by Lovecraftian horror with 5 unique game modes, characters and a progressive Campaign."
The Dapifer: The World's Most Diverse Fashion Magazine,Lakenya Kelly,US,Zines,22,10000,1831,0,"The Dapifer is the world's most diverse fashion magazine and website. Why? Because, that's the way it should be."
THE INVISIBLE DOG - SEASON 8,Lucien Zayan,US,Art,262,25000,42779,1,"Once again, show us your love and support. Make a generous donation for the Season 8 of the Invisible Dog!"
H.O.N.K. The Graphic Novel,George B. Alberts,US,Graphic Novels,8,3000,1331,0,"In a world where Klowns dwell in nature as natural beasts, this comic explores the bizarre creatures and all the chaos they bring."
Cherokee Log Cabin,Michael Burton,US,Architecture,22,20000,5998,0,1810 two story cherokee log cabin built by Avery Vann is being preserved and restored by volunteers in small rural town.
2017 Typewriter Calendar,Brenda N,US,Photography,41,1000,1090,1,Typewriter lovers unite! Stay inspired in 2017 with this beautiful photo calendar featuring typewriters from my collection.
EAST OF WARSAW - THE AUDIOBOOK,"Sauce From Scratch Productions, LLC",US,Fiction,24,7500,7887,1,"Help us create the audiobook version of EAST OF WARSAW, a novel based on the true saga of one family's survival of the Holocaust."
WITCH'S BREW Kombucha Alcohol Drink and Detox = No Hangover!,Free Love Inc.,US,Drinks,0,11000,0,0,CELEBRATE THE INVENTION OF THE MOST AMAZING ALCOHOLIC BEVERAGE IN THE HISTORY OF THE WORLD!!   WITCH'S BREW!!!  HAPPY HALLOWEEN!!
Moule - ethically crafted handbags and accessories. (Canceled),moule,GB,Product Design,21,10000,763,0,Where style meets function. Where smart meets simple.
Omega Nuts - The world's healthiest nut!,Jeff Lewis,US,Small Batch,9,2500,242,0,The world's healthiest nut. Higher in protein and Omega-3s than almonds per equal serving. A Peruvian secret no more!
Krix Panx's Second UK album,Krix Panx,GB,Music,55,2000,2205,1,"I am working on a new album. Help me to bring my recordings and live show to the next level, and to produce my very first music video."
ARIIS - The Most Versatile Sports Performance Monitor,Yulin Zhu,CA,Gadgets,92,5500,6375,1,Ariis is a modular sports performance monitor. \\
Brigantia (Issue #1),Chris Mole,GB,Comic Books,256,6000,6438,1,A historical fantasy/adventure story about a Pagan goddess seeking to defeat her nemesis and return to her own time.
Brooklyn Wax Factory: Soy Candles to Support YOUR Cause,Brooklyn Wax Factory,US,Candles,59,2500,2746,1,Beautify your space while supporting the cause of your choice.
"MAG-RACK, a stick-anywhere magnetic hat rack!",A. Cole Chamberlain,US,Product Design,72,3000,3039,1,"Effortlessly display your hats with no drilling, no holes, & no tools. This organization solution works on hard surfaces residue free."
The Temple of Silence: Forgotten Worlds of Herbert Crowley,Beehive Books,US,Comics,740,50000,96772,1,"An oversized archival art book collecting the unforgettable-yet-forgotten work of Herbert Crowley, and telling his remarkable story."
You equal I,Joseph,US,Apparel,0,5000,0,0,"My goal is to put thought provoking, beautiful art on shirts and other clothing items. Many more ideas soon to be drawn by artists."
Fleet Wars: Space Pioneers,Guy Spasic,AU,Mobile Games,2,5000,16,0,Fleet Wars: Space Pioneers brings an exciting new twist to the Sci Fi strategy genre by focusing on ship design and fleet formations.
ComfyPorts: Abstract Video Game T-shirts,Justin Sabo,US,Apparel,24,700,833,1,"Minimalist, abstract, & super soft t-shirts inspired by classic videogames from the 80's to today. Help make the first run possible."
Web Radio & TV Streaming,Frank Kozlowski,FR,Music,1,1200,60,0,Das Web Radio Projekt wird zum Show Platz fr Musiker . In Verbindung mit dem TV Stream werben wir mit Filmemachern und bauen Kontakte
Fireborn : A Fantasy Webcomic About A Troubled Tattooed Girl,Kalie Stanton,US,Webcomics,99,15000,5093,0,A young multiethnic teen who discovers her heroic legacy when she develops powers from her mysterious tattoos.
Save PlayStation Vita - PSVITA KING YouTube Project,Umair Ramay,HK,Video Games,0,7500,0,0,PS Vita is the Best Handheld Console of All Time and now its the opportunity to \\
Good Spirits,Joey Donaldson,CA,Graphic Novels,233,7500,11250,1,"Love, Magic, Alcohol. A Bartender has a chance run in with a mysterious Wizard that threatens to take away both his bar and his future."
Don't Go Bang!,Connor McQueen Johnston,GB,Video Games,5,20000,250,0,"RTS game about managing a team of Bomb Disposal Experts to protect the city! Features gripping story, bomb diffusing missions & more!"
The Manual To Life Project: What I wish I knew before twenty,Frederick Grothe,CA,Publishing,2,35000,125,0,The Manual To Life Project is a book and website born of my passion to help people get the most out of life. You can be abundant too!
Lil' Monkey - The world's only Jungle Gym that easily folds! (Canceled),Lil' Monkey,US,Product Design,75,50000,18200,0,"Keep your children active and happy with Climb N' Slide, the only Jungle Gym with a real folding & storing solution!"
Help THE HOLLOWS make a record!,Kate Long,US,Country & Folk,162,7000,7700,1,"With your support, we'll spend at least a week in the studio recording our 3rd album, to be released under a new band name!"
